categories,deal_features,merchant,mini_info,promotion_title,rel_location,state,total_ratings,url
"Local,Food & Drink,Restaurants,Latin American Restaurants","What You'll Get,Choose from Four Options,$16 for $30 worth of dinner for two on Sunday–Thursday,$18 for $30 worth of dinner for two any day,$32 for $60 worth of dinner for four Sunday–Thursday,$36 for $60 worth of dinner for four any day,See the menu here.",El Tango Argentina Grill,"Limited Time Remaining!,30+ viewed today,1,088 Ratings",Argentinian Dinner Cuisine for Two or Four at El Tango Argentina Grill (Up to 47% Off),North End,New York,"1,088 Ratings",https://www.groupon.com/deals/el-tango-argentina-grill
"Local,Food & Drink,Restaurants,Latin American Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 20% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Negril Village,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 20% Cash Back,10% Cash Back After That",20% Cash Back at Negril Village,"Little Italy,NoHo,Downtown",New York,10 Ratings,https://www.groupon.com/deals/negril-village
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 25% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Thai Terminal,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 25% Cash Back,10% Cash Back After That",25% Cash Back at Thai Terminal,East Village,New York,12 Ratings,https://www.groupon.com/deals/thai-terminal
"Local,Beauty & Spas,Face & Skin Care,Facial","What You'll Get,Choose Between Two Options,$30 for one 60-minute relaxing herbal facial ($65 value),$55 for two 60-minute relaxing herbal facials ($130 value),Skin: A Protective Blanket That Mends Itself,Beyond its soft, seemingly delicate outer layer, skin acts as a living barrier between us and the harsh world outside. Check out Groupon’s guide to the body’s pliable armor.,If you were to take all your skin and spread it out, it would, on average, cover a twin bed. And though that might be a blessing when you’ve run out of clean sheets, it would leave you defenseless against hazards such as bacteria, chemicals, sunlight, and even water. A complex system of more than 300 million constantly regenerating cells, nerves, and glands, the skin is not only the body’s largest organ, but also its first line of defense against the environment, a flexible, waterproof sheath for all the muscles, bones, and sensitive electronics inside.,In most cases, we can only see the skin’s outer layer, or epidermis, but two more layers lie just below the surface—the dermis, full of flexible collagen and elastin, and a subcutaneous layer of fat meant to cushion and insulate our insides. Of the three layers, the dermis is the workhorse, bracing the capillaries that regulate our body temperature and hosting millions of follicles that knit new hair and expel softening oils. But despite its importance, nobody will ever tell you how nice your dermis looks. Beauty, after all, is only epidermis deep, and it’s there where we see the most change. New skin cells are constantly replacing the old, pushing off roughly 1.5 pounds of dead cells every year, and over time the epidermis slowly loses its ability to retain moisture or spring back into place, resulting in wrinkles, dryness, and other signs of wisdom gained.,One of skin’s most useful attributes is its regenerative ability. When the skin breaks or needs repair, the blood vessels amp into overdrive, carrying much-needed nutrients straight to the site on pallets of platelets. This is why a cut forms a scab and, oddly enough, why our face turns red when we’re sunburned; the color isn’t actually a burn—it’s blood rushing to the face to repair the cellular damage caused by UV rays.",Heena's Threading Salon,"Limited Time Remaining!,20+ viewed today,29 Ratings",One or Two 60-Minute Relaxing Herbal Facials at Heena's Threading Salon (Up to 58% Off),Midtown East,New York,29 Ratings,https://www.groupon.com/deals/heena-s-threading-salon-2
"Local,Beauty & Spas,Face & Skin Care,Facial","What You'll Get,A beautiful face is hard to forget, like a catchy tune or a dog in cutoff jean shorts. Make a lasting impression with this voucher.,Choose from Three Options,$59 for one Customized Facial, Microdermabrasion, or Power Peel, each with aromatherapy (a $105 value),$99 for two Customized Facials, Microdermabrasions, or Power Peels (a $160 value),$129 for three Customized Facials, Microdermabrasions, or Power Peels (a $240 value),A,Customized Facial,takes place in a private room and begins with a consultation by expert aestheticians to help determine the best facial for your skin type such as oily, dry, dehydrated, mature, acne-prone, or combination. The service itself kicks off with a deep cleanse, tone, and scrub to prep the face before exfoliation, steam, and extractions clear out impurities and reveal a fresh complexion. A skin-specific mask, calming serum, and moisturizer finish the treatment.,Microdermabrasion,involves exfoliation using crystals to remove the outer surface of the skin to help even out skin tone, reduce pore size, remove dry, dehydrated skin, minimize fine lines and wrinkles, and prevent blemishes. Each starts with a cleanse and tone and includes a serum, mask, moisturizer, and layer of SPF protection.,Skin Spa New York offers three different types of corrective,Power Peels,. The Beta-Salicylic helps clear up oily, acne-prone skin; the Glycolic, good for anti-aging, brightens and evens skin tone; and the Lactic removes dry, dehydrated cells to aid in moisturizing sensitive skin. Each peel starts with a cleanse and tone and includes a serum, mask, moisturizer, and layer of SPF protection.,This deal is open to new clients only. Valid at seven Manhattan Skin Spa New York locations:,Upper East Side: 60th Street between Lexington and Park Avenues,Midtown: 44th Street between Madison and Fifth Avenues,Flatiron/Chelsea: 21st Street between Fifth and Sixth Avenues,SoHo: Broadway between Spring and Broome Streets,Midtown East/Murray Hill: Lexington Avenue at 40th Street,Fashion District: 37th Street at Eighth Avenue,Midtown West/57 Street: 57th Street between Sixth and Seventh Avenues,View Skin Spa New York’s other offers:,Corrective Facials,Swedish or Deep-Tissue Massages,Organic Spray Tans,Brazilian Waxes,Anti-Aging Laser Facials,Swedish Massage with Customized Facials,Laser Hair Removal",Skin Spa New York,"Limited Time Remaining!,Selling fast!,4,661 Ratings","One, Two, or Three Facials, Microdermabrasions, or Corrective Peels at Skin Spa New York (Up to 46% Off)",Multiple Locations,New York,"4,661 Ratings",https://www.groupon.com/deals/skin-spa-13
"Local,Beauty & Spas,Massage","What You'll Get,Two Options Available:,$45 for one 50-minute massage with a choice of custom, Swedish, deep tissue and hot stone ($104 value),$79 for two 50-minute massage with a choice of custom, Swedish, deep tissue and hot stone ($208 value)",FACE + BODY by Dorit Baxter,"Limited Time Remaining!,100+ viewed today,241 Ratings",One or Two 50-Minute Massages at FACE + BODY by Dorit Baxter (Up to 62% Off),Upper East Side,New York,241 Ratings,https://www.groupon.com/deals/face-body-by-dorit-baxter
"Local,Beauty & Spas,Hair Removal,Waxing","What You'll Get,Choose Between Two Options,$24 for one chocolate Brazilian wax ($49 value),$69 for three chocolate Brazilian waxes ($147 value),See Vada Spa’s other deals:,Shellac mani-pedis,Swedish massage packages,VelaShape III treatments,Tattoo removal,Haircut and color packages,Nonsurgical fat-reduction treatments",Vada Spa,"Limited Time Remaining!,40+ viewed today,3,554 Ratings",One or Three Chocolate Brazilian Waxes at Vada Spa (Up to 53% Off),Downtown Manhattan,New York,"3,554 Ratings",https://www.groupon.com/deals/vada-spa-6
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,$28 for two hours of all-you-can-eat sushi with three Sapporos, glasses of house wine, or glasses of sake, valid Sunday through Thursday ($44 value),See the menu,One voucher, One Meal,This deal is part of our One voucher, One Meal collection for New York. For every Groupon purchased from these special deals, Groupon will donate the cost of one meal to City Harvest, an organization dedicated to fighting food insecurity in and around New York.,Click here,to learn more.",Kumo Sushi,"Limited Time Remaining!,Selling fast!,2,446 Ratings",Two Hours of All-You-Can-Eat Sushi with Choice of Three Drinks at Kumo Sushi (Up to 36% Off),West Village,New York,"2,446 Ratings",https://www.groupon.com/deals/kumo-sushi-1
"Local,Things To Do,Fun & Leisure,Art Classes","What You'll Get,The Deal,$46.50 for a 2-hour wheel-throwing workshop for one ($75 value),Pottery experts lead approximately 10 to 14 students through a session in wheel-throwing, where they learn how to use a pottery wheel to create functional items such as vases and bowls. Students are not able to take their pieces home. Check the,schedule,for class times.",La Mano Pottery,"Limited Time Remaining!,350+ viewed today,398 Ratings",2-Hour Wheel-Throwing Workshop for One at La Mano Pottery (Up to 38% Off),Chelsea,New York,398 Ratings,https://www.groupon.com/deals/la-mano-pottery-1-5
"Local,Beauty & Spas,Face & Skin Care,Facial","What You'll Get,Choose From Five Options,$69 for 60 Minute Customized Facial,$75 for 60 Minute Acne Control Treatment,$75 for 60 Minute Deep Pore Detox Treatment,$69 for 60 Minute Ideal Therapeutic Massage,$109 for 75 Minute Microdermabrasion Enhancement with Choice of LED Skin Therapy, Hyperbaric Oxygen Infusion, or Radio Frequency Skin Tightening,Customized Facials are tailored to each clients skin type, seasonal needs, and specific conditions. Acne Control Treatments address the causes of acne and eliminate existing blemishes, control sebum production, and prevent future breakouts. The Deep Pore Detox Treatment detoxifies and refines pores with clarifying, antibacterial, antioxidant, and oxygenating action. The Enhanced Microdermabrasion improves the appearance of fine lines and wrinkles with treatments including LED Skin Therapy, Hyperbaric Oxygen Infusion, or Radio Frequency Skin Tightening Therapy depending on your skin conditions and goals. For the Ideal Therapeutic Massage enhanced with essential, 100% plant based oils, clients can choose from modalities including Swedish, deep-tissue, office relief or sports relief.,Radio-Frequency Skin-Tightening Therapy is cleared by the FDA to smooth fine lines and wrinkles and firm sagging skin for a more youthful appearance suitable for all skin types.,All skin care treatments finish with corrective serums, replenishing gels, hydrators, and SPF.,A Chat with KUR Skin Lab,What services does your business offer and what makes your business stand out from the competition?,KUR SkinLab is dedicated to offering women and men of all ages the best science-based personalized treatments. Our modern facility has been designed to provide you with an exceptional skin care experience, including the thoughtful décor that will instantly transport you to a better state of being.,What was the inspiration to start or run this business?,Healthy skin is beautiful skin. Our skin care services range from basic maintenance to advanced corrective treatments. Our treatments provide a customized regimen to cover your individual needs. Our goal is to improve the skin’s health and appearance while delivering a superior spa experience.,What do you love most about your job?,Maintaining healthy skin is an ongoing and progressive effort. We love to be a part of your journey. Whether your goal is to smooth fine lines and wrinkles, improve the texture of your skin, even out skin discoloration, reduce redness, or clear acne, we have a treatment that is tailored for you.,What is the best reaction you’ve ever gotten from a customer?,All I can say is WOW! Went there on 6/7/15 for a facial, and was thoroughly impressed as soon as I walked into the place - modern, clean, bright, and welcoming. And then Svitlana gave me one of the best facials I ever had. She was so thorough with her extractions and was really honest about my skin.",KUR Skin Lab,"Limited Time Remaining!,150+ viewed today,256 Ratings",Up to 50% Off Customized Facial at KUR Skin Lab,Midtown East,New York,256 Ratings,https://www.groupon.com/deals/kur-skin-lab
